video_url,title,collected_at
/watch?v=qvZJ2Fsngig&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,We Tried Visiting 472 NYC Subway Stations in 22 Hours (World Record Attempt),2026-01-18 04:06:45.647296
/shorts/XQdNWpOPPHY,THERE WASN”T NO NAPKINS IN THE TRAIN SO…🚊🤷🏾‍♂️ #shorts #shortvideo #nyc #reels,2026-01-18 04:06:45.647437
/shorts/F8_DW1Px2cA,New York subway be like #nyc,2026-01-18 04:06:45.647595
/watch?v=QVw-g-Trb9M&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Why NYC’s Subway Keeps Flooding | WSJ Pro Perfected,2026-01-18 04:06:45.647736
/shorts/IGqm0cL3Ajo,The NYC Subway's Underground Museum #shorts #nytm,2026-01-18 04:06:45.647892
/watch?v=_I3tIwj5RK0&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,New York Subway Operator Life 1980s vs 90s vs Today | Experts by Decade | Daily Mail,2026-01-18 04:06:45.648040
/shorts/ttxNBZb6NgI,WATCH: Kitten casually boards NYC subway car #shorts #viral #cat #subway #nyc #newyork #cute,2026-01-18 04:06:45.648175
/shorts/M27ph9iAOi0,Buying a Piece of the NYC Subway,2026-01-18 04:06:45.648317
/shorts/1I6d3kOTXBA,The Insane New York Subway's in 1980 #shorts,2026-01-18 04:06:45.648461
/shorts/q4VXuu-r4jY,That's enough New York Subway for one day 😳,2026-01-18 04:06:45.648631
/shorts/rvyotw7usKg,NYC Subway Fun Facts - Part 2 #shorts,2026-01-18 04:06:45.648773
/shorts/s8Mee28K-50,Dining on a SUBWAY?! Only in New York!,2026-01-18 04:06:45.648930
/shorts/x-3UxL8feBQ,Only In NYC ​⁠#youtubeshorts #funny #nyclife #dupreegod  #nyc #manhattan #brooklyn,2026-01-18 04:06:45.649078
/shorts/EGv4aJBq4Aw,4 Train Passing 5 Train at 96th Street Station #nyc #newyork #subway #mta #train #railway #nycsubway,2026-01-18 04:06:45.649222
/shorts/pRBJ_DI1uDc,NYC woman's hilarious reaction on realizing subway surfer had just climbed on top of train 🤣,2026-01-18 04:06:45.649367
