video_url,title,collected_at
/watch?v=fFIfm33dFGU&pp=ygUQbWV0cm8gcmFpbCBEZWxoadIHCQlPCgGHKiGM7w%3D%3D,Delhi Metro Train - Complete Ride,2026-01-18 04:06:21.911592
/watch?v=alv60bI4PeI&pp=ygUQbWV0cm8gcmFpbCBEZWxoadIHCQlPCgGHKiGM7w%3D%3D,How The Delhi Metro Changed Daily Commutes For Millions | World's Busiest Cities | BBC Earth Explore,2026-01-18 04:06:21.911827
/watch?v=IlbNQzH83Pg&pp=ygUQbWV0cm8gcmFpbCBEZWxoadIHCQlPCgGHKiGM7w%3D%3D,Metro Railfanning - Yellow Line Bombardier Metro | Delhi Metro Rail Corporation,2026-01-18 04:06:21.912029
/watch?v=RziOqKwlOKw&pp=ygUQbWV0cm8gcmFpbCBEZWxoaQ%3D%3D,RRTS Speed Trial 140 KM/H | Delhi - Meerut Rapid Rail,2026-01-18 04:06:21.912238
/watch?v=PTh0-EZTe4c&pp=ygUQbWV0cm8gcmFpbCBEZWxoaQ%3D%3D,The HUGE Metro System You Don’t Hear Much About | Delhi Metro Explained,2026-01-18 04:06:21.912431
/watch?v=jcG__NEBKGM&pp=ygUQbWV0cm8gcmFpbCBEZWxoaQ%3D%3D,I Visited India's BEST Metro System | Modern Delhi 🇮🇳,2026-01-18 04:06:21.912652
/watch?v=R3sszWW83qA&pp=ygUQbWV0cm8gcmFpbCBEZWxoaQ%3D%3D,Oppo Delhi Metro Train Wrap,2026-01-18 04:06:21.912862
/watch?v=lEa246cmx5s&pp=ygUQbWV0cm8gcmFpbCBEZWxoadIHCQlPCgGHKiGM7w%3D%3D,How to Travel in Delhi Metro | Delhi Metro Guide #delhimetro,2026-01-18 04:06:21.913057
/watch?v=b3qeTteD-3E&pp=ygUQbWV0cm8gcmFpbCBEZWxoaQ%3D%3D,"Nobody Told Me That Delhi, India Had A WORLD CLASS Metro! 🇮🇳 हिंदी उपशीर्षक",2026-01-18 04:06:21.913266
/shorts/9oOF5ufYyCI,Airport Express line Metro Rail/delhi metro/#viralshorts #shorts #youtubeshorts #metro  #shortsfeed,2026-01-18 04:06:21.913520
