video_url,title,collected_at
/watch?v=np5siy1BiY0&pp=ygUMTXVtYmFpIE1ldHJv,Mumbai Breaking News Live | Mumbai News Today LIVE | Top 25 News | Mumbai Fast,2026-01-18 04:07:27.886438
/watch?v=Wq_5xkdqQlk&pp=ygUMTXVtYmFpIE1ldHJv,2 Lakh Crore Infrastructure Projects In Mumbai MMR | BMC New Mega Projects In Maharashtra ,2026-01-18 04:07:27.886607
/shorts/Q-Hoh5Xe8gM,Watch the process of Mumbai Underground Metro | #mumbai #girithewalker #metro #mumbaimetro3,2026-01-18 04:07:27.886731
/shorts/HzMxEZLqGYc,Mumbai Metro Horror | Disabled Commuter Karn Shah Stuck As Lift Breaks Down | #viral #mumbai #shorts,2026-01-18 04:07:27.886848
/watch?v=H4-KXvKlbIo&pp=ygUMTXVtYmFpIE1ldHJv,$0.20 MUMBAI Metro 2025 🇮🇳 (India's Newest Metro),2026-01-18 04:07:27.886960
/shorts/3oMUdY_EGbY,Is the Mumbai Metro Any Good?,2026-01-18 04:07:27.887105
/watch?v=pLZ5nVOWK7k&pp=ygUMTXVtYmFpIE1ldHJv0gcJCU8KAYcqIYzv,Mumbai’s Next Big Metro — Line 11 to Connect with Gateway of India |Proposal Awaits Central Approval,2026-01-18 04:07:27.887214
/shorts/1R61rpdbPRc,Wheelchair User Abandoned At Mumbai Metro Station,2026-01-18 04:07:27.887329
/watch?v=DQY-MygzIv0&pp=ygUMTXVtYmFpIE1ldHJv,Mumbai Metro Line 11: Fast-Tracked Mumbai Underground Line 11 Connecting Wadala to South Mumbai | 4K,2026-01-18 04:07:27.887438
/watch?v=0flilwxQv_o&pp=ygUMTXVtYmFpIE1ldHJv0gcJCU8KAYcqIYzv,How Mumbai’s First Underground Metro Is Changing Life Above Ground | I Witness,2026-01-18 04:07:27.887623
/shorts/kzKIF0Uk7Ag,Mumbai Metro Line 3 to Cut Aarey-Worli Travel Time to 36 Minutes,2026-01-18 04:07:27.887811
/watch?v=xZ7SzHTgdlw&pp=ygUMTXVtYmFpIE1ldHJv,Mumbai Today News: मुंबई की बड़ी ख़बरें | Top 20 News | Big News | Metro Mumbai -17 January  2026,2026-01-18 04:07:27.887936
/watch?v=L205QJcrcpY&pp=ygUMTXVtYmFpIE1ldHJv,"Mumbai Metro Line 13 Latest Update 2026: Route Map, Stations & Ground Reality Explained |",2026-01-18 04:07:27.888050
/watch?v=VLwuQoQ_c6Y&pp=ygUMTXVtYmFpIE1ldHJv,Mumbai Metro Aqua Line 3 Fully Open! | Csmt → Aarey + 27 Stations | Mumbai Underground Metro Line 3 ,2026-01-18 04:07:27.888158
