video_url,title,collected_at
/watch?v=2Abrpfj3Aa4&pp=ygUMVG9reW8gU3Vid2F5,"Tokyo's Train System, EXPLAINED",2026-01-18 04:07:50.158559
/watch?v=MR0ixvpWJgg&pp=ygUMVG9reW8gU3Vid2F5,How to Use the Tokyo Subway & Get a Transit Card | JAPAN TRAVEL TIPS 2025,2026-01-18 04:07:50.158711
/watch?v=6j5uIh4FpCk&pp=ygUMVG9reW8gU3Vid2F5,The Tokyo Subway Attack,2026-01-18 04:07:50.158831
/watch?v=flyGRQlUnmI&pp=ygUMVG9reW8gU3Vid2F5,Tokyo Metro Ginza Line Ride: Ginza to Shibuya | 4K HDR 60FPS POV,2026-01-18 04:07:50.158959
/watch?v=zH71aqfPqCM&pp=ygUMVG9reW8gU3Vid2F5,Ultimate Guide to the Tokyo Subway! 🇯🇵 How to Use Google Maps to Get Around Japan,2026-01-18 04:07:50.159160
/watch?v=FFpG3yf3Rxk&pp=ygUMVG9reW8gU3Vid2F5,Tokyo Has Built The World's Best Subway,2026-01-18 04:07:50.159278
/watch?v=lw-bnoPBCmM&pp=ygUMVG9reW8gU3Vid2F5,Tokyo's Public Tranport Explained: A Guide for First-Time Travellers,2026-01-18 04:07:50.159394
/watch?v=6dKiEY0UOtA&pp=ygUMVG9reW8gU3Vid2F5,I Visited the World's Busiest Train Station,2026-01-18 04:07:50.159626
/watch?v=0KMYAEIXVzA&pp=ygUMVG9reW8gU3Vid2F5,The Largest Rail System In the World | Tokyo’s Urban Railways Explained,2026-01-18 04:07:50.159745
/watch?v=ZT6H_XMDm7s&pp=ygUMVG9reW8gU3Vid2F5,"How Tokyo's Subway Keeps On-time, Clean, and Safe",2026-01-18 04:07:50.159867
/watch?v=y4v7BKI41oo&pp=ygUMVG9reW8gU3Vid2F5,Japan – Ultimate Guide to Tokyo Subway Tickets,2026-01-18 04:07:50.160029
/watch?v=ofMBceVfGlM&pp=ygUMVG9reW8gU3Vid2F50gcJCU8KAYcqIYzv,Using Tokyo's Trains is Pretty Easy (Don't Get Lost),2026-01-18 04:07:50.160153
/watch?v=MW6TUftKgbw&pp=ygUMVG9reW8gU3Vid2F5,"Tokyo Toei Subway ""Asakusa Line"" A Wide Variety of Trains!",2026-01-18 04:07:50.160266
/watch?v=HdJwAUdvlik&pp=ygUMVG9reW8gU3Vid2F5,Why Tokyo's Metro Is Profitable and New York City’s Isn’t | WSJ U.S. vs. Japan,2026-01-18 04:07:50.160475
/watch?v=QVRGYlUsE9I&pp=ygUMVG9reW8gU3Vid2F5,Tokyo’s Subway Horror: The 1995 Sarin Gas Attack,2026-01-18 04:07:50.160668
/watch?v=WHA8l9Fa_gs&pp=ygUMVG9reW8gU3Vid2F5,Tokyo Subway: STEP BY STEP,2026-01-18 04:07:50.160787
/shorts/Pmty5OSqRFs,How to Survive Hell Train in Tokyo 💀,2026-01-18 04:07:50.160954
/watch?v=YdPiv0LVCiE&pp=ygUMVG9reW8gU3Vid2F5,Is the Tokyo Subway Ticket worth it? (Watch this before buying),2026-01-18 04:07:50.161181
